Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
As4O8,3.232,-3.938,-7.17,6.94
Ca4As4,0.998,-1.024,-2.022,2.781
In2Se2,1.63,-2.271,-3.901,4.59
Sc4S6,1.515,-2.166,-3.681,4.567
V2O5,1.356,-4.887,-6.243,7.136
Zr2Te10,0.191,-2.292,-2.483,4.489
Al2MgSe4,1.064,-0.789,-1.853,4.304
Cr2Br2O2,0.501,-2.647,-3.147,5.181
Hf2Ge2Te8,0.565,-1.658,-2.223,4.243
In4I4Te4,1.732,-2.42,-4.152,5.048
Li2Cl2O4,3.347,-0.966,-4.313,3.632
Na2H2O2,2.802,-0.738,-3.54,2.742
Nb2Br4Se4,1.096,-2.259,-3.355,4.692
Nb3Cl7Te,0.772,-2.67,-3.442,4.937
Pd2O6Se2,1.12,-2.762,-3.882,4.831
Pt4Tl2Te6,0.663,-1.781,-2.443,4.069
Sc4I4O4,1.792,-1.088,-2.88,4.69
Ta3I7Te,0.643,-2.0,-2.643,4.45
W2O12Sb4,1.745,-2.355,-4.1,6.088
Zr2Cl2N2,1.923,-1.689,-3.612,5.771
In2Se2,1.321,-0.617,-1.939,5.234
Cu4Cl4H4O4,0.403,-4.624,-5.027,6.52
HfNa2H6O6,4.113,-0.597,-4.71,3.44
Li6H2O8Te2,4.037,-0.112,-4.148,3.249
Na2PtH6O6,2.835,-0.891,-3.726,3.192
Sn2F2O6P2,3.985,-1.163,-5.148,4.807
Na2C2H6N8O2,4.819,-0.694,-5.513,4.149
Ag2Se2,0.75,-2.585,-3.335,5.38
Al2Se2,1.997,-0.008,-2.006,4.827
Au2I2,0.781,-0.735,-1.517,4.607
Co2Br2,0.065,-0.452,-0.517,4.255
In2Br2,2.054,-1.311,-3.365,3.787
Cu2Cl2,1.447,-1.382,-2.829,4.882
Rb2Cl2,4.651,-0.328,-4.979,3.765
Ti2Cl2,0.013,0.461,0.448,2.935
Co2I2,0.037,0.299,0.262,3.854
F2Ge2,0.118,-4.41,-4.528,7.127
F2Si2,0.666,-3.182,-3.848,6.179
Ga2Te2,1.297,-0.102,-1.399,4.52
GeTe,1.474,-0.853,-2.326,4.217
Hf2Se2,0.043,0.238,0.195,3.596
Hg2Te2,0.026,-1.841,-1.867,5.209
I2Sb2,0.586,-1.092,-1.678,4.468
Ir2Se2,0.305,1.19,0.885,4.178
Pt2O2,0.432,-2.813,-3.245,5.479
Pb2S2,0.422,-1.672,-2.094,4.009
Sn2S2,1.414,0.072,-1.342,3.948
BaCl2,5.618,0.563,-5.056,4.843
CaCl2,4.771,-0.507,-5.278,5.867
CdCl2,3.616,-2.059,-5.675,6.118
CoBr2,0.174,-3.173,-3.347,5.682
Co4S8,0.322,-1.925,-2.247,5.771
GeO2,1.457,-3.47,-4.927,7.941
HfTe2,0.132,-0.892,-1.024,5.154
HgO2,0.504,-4.42,-4.924,7.382
MnBr2,1.775,-1.986,-3.761,5.142
NiI2,0.106,-1.315,-1.421,4.881
Ni2Te4,0.921,-1.291,-2.212,4.483
Ti2O4,2.855,-2.264,-5.118,6.822
Os2Te4,0.713,0.769,0.056,4.074
PbTe2,0.125,-1.872,-1.997,4.765
PdS2,1.171,-1.632,-2.803,5.706
I2Sb,0.019,-0.399,-0.418,4.452
SnS2,1.587,-1.623,-3.211,6.029
SrCl2,5.267,-0.696,-5.963,5.064
ZrSe2,1.446,-1.805,-3.251,5.325
SrF2O2,2.862,-1.89,-4.752,5.597
Au2MoS4,0.801,-1.435,-2.235,4.663
Cu2WS4,1.534,-1.316,-2.85,4.9
Ag2ReBr6,0.562,-2.622,-3.183,5.762
Al2Br6,3.897,-0.232,-4.129,5.028
Au2Cl6,0.208,-3.77,-3.978,6.589
W2Cl6,0.487,-0.574,-1.061,4.65
Cu2Br6,0.107,-3.656,-3.763,6.416
Ga2Cl6,2.524,-2.594,-5.118,6.426
In2Cl6,2.863,-2.525,-5.388,6.481
Mn2Cl6,0.039,-2.301,-2.34,5.317
Tl2Cl6,2.425,-3.021,-5.446,6.937
HfTi3Te8,0.052,-0.991,-1.043,5.16
TiZr3Te8,0.189,-1.022,-1.211,5.247
Al2Br2Se2,1.535,-0.446,-1.981,4.679
AsBrTe,1.237,-1.384,-2.621,5.162
AsIS,1.336,-1.126,-2.462,5.108
Bi2Cl2S2,0.943,-2.514,-3.457,6.523
BiIS,0.401,-1.678,-2.079,5.635
In2Br2O2,2.29,-1.017,-3.307,6.008
Sc2Br2Se2,1.51,-1.064,-2.574,5.302
Cl2Ge2N2,1.851,-0.715,-2.567,5.684
ZrClI,0.877,1.326,0.449,3.274
ClSbSe,1.172,-2.013,-3.185,5.658
Hf2I2N2,1.585,0.617,-0.967,4.859
ISbSe,1.012,-1.29,-2.302,5.118
ZrSSe,0.613,-1.657,-2.27,5.44
Ag2I2Te4,1.025,-1.508,-2.533,4.89
Co2H2S4,0.364,-0.998,-1.362,5.081
Al2P2Se6,0.602,-0.645,-1.248,4.532
Cr2P2Se6,0.431,-0.663,-1.094,4.56
Hg2P2Se6,0.606,-1.21,-1.816,5.134
Rh2P2Se6,0.032,-0.852,-0.884,4.586
Ta2P2Te6,0.179,-0.486,-0.665,4.593
Mo2W2Te8,0.862,1.049,0.187,4.173
HfMnF6,0.697,-2.168,-2.864,5.009
P2,1.929,-2.746,-4.675,5.206
As4S6,2.272,-2.444,-4.716,4.873
Mo2Cl6,0.639,-3.029,-3.667,5.156
V4O10,2.062,-5.391,-7.453,7.753
