Formula              ✕,Band gap              ✕,2D plasma frequency (x)              ✕,2D plasma frequency (y)              ✕,Band gap (G₀W₀)              ✕,Band gap (HSE06)              ✕,"Conduction band effective mass, direction 1              ✕","Conduction band effective mass, direction 2              ✕",Cond. band minimum              ✕,Conduction band minimum (G₀W₀)              ✕,Conduction band minimum (HSE06)              ✕,Dir. band gap              ✕,Direct band gap (G₀W₀)              ✕,Direct band gap (HSE06)              ✕,Dir. gap wo. soc.              ✕,Exc. bind. energy              ✕,Gap wo. soc.              ✕,Phonon dynamic stability (low/high)              ✕,Thermodynamic stability level              ✕,Energy              ✕,Vacuum level              ✕,"Valence band effective mass, direction 1              ✕","Valence band effective mass, direction 2              ✕",Val. band maximum              ✕,Valence band maximum (G₀W₀)              ✕,Valence band maximum (HSE06)              ✕,Work function (avg. if finite dipole)              ✕,First class material              ✕,Calculator              ✕,Anisotropic exchange (out-of-plane)              ✕,Area of unit-cell              ✕,Topology              ✕,Crystal type              ✕,DOS at ef              ✕,DOS at ef no soc.              ✕,Energy above convex hull              ✕,Fermi level              ✕,Heat of formation              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>x</sub>)              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>y</sub>)              ✕,Magnetic easy axis              ✕,Magnetic moment              ✕,Magnetic state              ✕,Material class              ✕,Material has inversion symmetry              ✕,Magnetic              ✕,Material unique ID              ✕,Maximum force              ✕,Maximum stress              ✕,Maximum value of S_z at magnetic sites              ✕,Minimum eigenvalue of Hessian              ✕,Monolayer reported DOI              ✕,Nearest neighbor exchange coupling              ✕,Charge              ✕,Number of atoms              ✕,Number of nearest neighbors              ✕,n-spins              ✕,Out-of-plane dipole along +z axis              ✕,Path to collection folder              ✕,PBC              ✕,Point group              ✕,Unique ID              ✕,Related COD id              ✕,Related ICSD id              ✕,Single-ion anisotropy (out-of-plane)              ✕,"Soc. total energy, x-direction              ✕","Soc. total energy, y-direction              ✕","Soc. total energy, z-direction              ✕",Space group              ✕,Space group number              ✕,Speed of sound (x)              ✕,Speed of sound (y)              ✕,Static interband polarizability (x)              ✕,Static interband polarizability (y)              ✕,Static interband polarizability (z)              ✕,Static lattice polarizability (x)              ✕,Static lattice polarizability (y)              ✕,Static lattice polarizability (z)              ✕,Static total polarizability (x)              ✕,Static total polarizability (y)              ✕,Static total polarizability (z)              ✕,Stiffness dynamic stability (low/high)              ✕,"Stiffness tensor, 11-component              ✕","Stiffness tensor, 12-component              ✕","Stiffness tensor, 13-component              ✕","Stiffness tensor, 21-component              ✕","Stiffness tensor, 22-component              ✕","Stiffness tensor, 23-component              ✕","Stiffness tensor, 31-component              ✕","Stiffness tensor, 32-component              ✕","Stiffness tensor, 33-component              ✕",Stoichiometry              ✕,Mass              ✕,Age              ✕,ID              ✕,Unique identifier              ✕,Username              ✕,Vacuum level difference              ✕,Volume              ✕
Be4,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.000,-,1,-13.11,1.493,-,-,-,-,-,5.102,True,gpaw,-,8.175,-,A-67-g,0.869,0.871,0.425,-3.609,0.425,0.0,0.0,z,0.000,NM,-,True,False,09dd42ad034e96148f2c73f6086ce6f6,0.004,0.000,-,-,-,-,0.0,4,-,1,-0.0,ICSD-COD/1el/Be4,TTF,mmm,eb8b23803c35c0809a9a8d9316bf4493,9013111,-,-,0.0,0.0,0.0,Cmme,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,36.049,6w,1,Be4-09dd42ad034e,cmr,-0.0,256.436
As4O8,3.232,-,-,-,-,1.117,1.155,-3.938,-,-,3.232,-,-,3.236,-,3.236,low,3,-72.425,1.386,-11.847,152.666,-7.170,-,-,6.94,True,gpaw,-,39.412,-,AB2-31-ab,0.0,0.0,0.058,-5.554,-1.065,0.0,0.0,z,0.000,NM,-,False,False,5242a449d9505cc77b7db8d03e47b707,0.005,0.000,-,-0.352,-,-,0.0,12,-,1,0.0,ICSD-COD/2el/As8O16,TTF,mm2,5afaedaf500386f049a3d73cbbe3ba25,9007637,-,-,0.0,0.0,0.0,Pmn2_1,31,5710.713,1500.442,-,-,-,-,-,-,-,-,-,low,58.764,4.613,-0.002,3.613,4.057,0.001,0.000,0.000,-69.689,AB2,427.678,6w,2,As4O8-5242a449d950,cmr,0.0,1411.694
Ca4As4,0.998,-,-,-,1.583,1.141,3.465,-1.024,-,-0.715,0.998,-,1.585,1.005,-,1.005,high,2,-32.647,1.258,-0.445,68.343,-2.022,-,-2.298,2.781,True,gpaw,-,42.505,Trivial,AB-14-e,0.0,0.0,0.35,-1.523,-0.743,0.0,0.0,z,0.000,NM,-,True,False,bf7bbbdbefe0f617cd30e0c79052987e,0.006,0.000,-,-0.000,-,-,0.0,8,-,1,-0.0,ICSD-COD/2el/Ca8As8,TTF,2/m,9c8195c5d3d9574071ab0a4e9bee18bf,-,22388,-,0.0,0.0,0.0,P2_1/c,14,4689.634,4790.477,2.893,2.730,0.381,1.970,2.444,0.061,4.864,5.174,0.442,high,39.523,21.830,-0.005,20.787,41.241,0.001,-0.005,0.003,26.732,AB,459.998,6w,3,As4Ca4-bf7bbbdbefe0,cmr,-0.0,1426.071
Fe4S8,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.000,low,2,-70.802,2.208,-,-,-,-,-,5.0,True,gpaw,-,33.126,-,AB2-7-a,3.594,3.574,0.363,-2.792,-0.168,0.303,-0.529,x,3.759,FM,-,False,True,897195c26aff8889d8aba40d00c4d8e8,0.008,0.000,-,-0.054,-,-,0.0,12,-,2,0.0,ICSD-COD/2el/Fe4S8,TTF,m,bdaab9a988c5ae383a7340a0362f276a,7228542,-,-,-44.938,-44.107,-44.636,Pc,7,5074.559,4805.905,-,-,-,-,-,-,-,-,-,high,61.944,5.660,-7.833,5.926,55.559,3.168,-6.807,3.617,55.290,AB2,479.86,6w,4,Fe4S8-897195c26aff,cmr,0.0,1080.629
In2Se2,1.63,-,-,-,2.254,0.207,1.067,-2.271,-,-2.039,1.841,-,2.483,1.873,-,1.664,high,3,-14.491,1.504,-5.681,-0.337,-3.901,-,-4.293,4.59,True,gpaw,-,23.013,-,AB-12-i,0.0,0.0,0.038,-3.086,-0.5,0.0,0.0,z,0.000,NM,-,True,False,0a48e35c06ea8a0106160f786f5f8043,0.006,0.000,-,-0.000,-,-,0.0,4,-,1,-0.0,ICSD-COD/2el/In4Se4_1,TTF,2/m,3310c144fbd885512e402ae4bfa0f167,1540841,-,-,0.0,0.0,0.0,C2/m,12,3195.255,3335.687,2.470,2.947,0.365,1.834,2.826,0.014,4.304,5.773,0.379,high,28.553,1.079,0.038,1.771,31.118,-0.018,-0.000,-0.000,13.382,AB,387.578,6w,5,In2Se2-0a48e35c06ea,cmr,-0.0,761.622
Sc4S6,1.515,-,-,-,2.939,0.618,6.434,-2.166,-,-1.320,1.515,-,3.026,1.518,-,1.518,high,2,-60.021,1.643,-1.299,-0.279,-3.681,-,-4.259,4.567,True,gpaw,-,38.265,-,A2B3-65-fhln,0.0,0.0,0.263,-2.924,-1.691,0.0,0.0,z,-,NM,-,True,False,d89434262366ba464e1acd3df226faf3,0.004,0.000,-,-0.000,-,-,0.0,10,-,1,0.0,ICSD-COD/2el/Sc32S48,TTF,mmm,4c34c883c58df565a4462db01f23e0ae,-,650834,-,0.0,0.0,0.0,Cmmm,65,5636.787,5363.079,2.617,2.551,0.383,5.293,6.299,0.100,7.911,8.850,0.483,high,51.318,14.479,-6.770,14.829,46.455,-2.629,-7.486,-1.985,41.141,A2B3,372.184,6w,6,Sc4S6-d89434262366,cmr,0.0,1288.005
V2O5,1.356,-,-,-,-,0.907,2.839,-4.887,-,-,1.455,-,-,1.456,-,1.357,low,3,-57.533,1.571,-0.688,-0.506,-6.243,-,-,7.136,True,gpaw,-,16.202,-,A2B5-12-ci,0.0,0.0,0.154,-5.565,-2.123,0.0,0.0,z,-,NM,-,True,False,feec586ec84403eaec0b9593f6a61b46,0.008,0.000,-,-8.325,-,-,0.0,7,-,1,0.0,ICSD-COD/2el/V4O10_1,TTF,2/m,791e733010eb325fba8cb12ac03610a0,9000091,-,-,0.0,0.0,0.0,C2/m,12,8685.032,6749.605,-,-,-,-,-,-,-,-,-,low,140.608,39.554,-0.214,38.006,84.923,-0.325,-0.000,-0.000,-119.978,A2B5,181.878,6w,7,V2O5-feec586ec844,cmr,0.0,542.897
Zr3B2H2S2,0.0,5.445,5.499,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.000,high,2,-56.149,4.974,-,-,-,-,-,2.709,True,unknown,-,11.063,-,A2B2C2D3-187-eghi,2.467,2.44,0.443,2.265,-0.636,0.0,0.0,z,-,NM,-,False,False,edd0bfaaecfb0f27f80ebca9bfe8e9b8,-,-,-,-0.000,-,-,0.0,9,-,1,-0.0,tree/A2B2C2D3/B2H2S2Zr3/B2H2S2Zr3-edd0bfaaecfb,TTF,-6m2,9fdc5929a57de6242d5d98df65edb58d,-,-,-,0.0,0.0,0.0,P-6m2,187,5661.768,5661.117,44.120,46.947,0.915,-,-,-,-,-,-,high,173.904,41.612,0.010,41.813,173.864,-0.170,-0.034,-0.184,133.583,A2B2C2D3,361.428,6w,37,B2H2S2Zr3-edd0bfaaecfb,cmr,-0.0,267.946
Zr2Te10,0.191,-,-,-,0.142,0.027,0.055,-2.292,-,-2.128,0.33,-,0.321,0.343,-,0.170,high,3,-53.026,2.101,-0.353,-0.047,-2.483,-,-2.270,4.489,True,gpaw,-,55.788,-,AB5-59-abe,0.0,0.209,0.0,-2.387,-0.514,0.0,0.0,z,-,NM,-,True,False,3f609a2e76303dc2bde042c5e646e557,0.009,0.000,-,-0.000,-,-,0.0,12,-,1,-0.0,ICSD-COD/2el/Zr4Te20,TTF,mmm,ea81af3673bb0fbfae897eb07d52a25e,-,653212,-,0.0,0.0,0.0,Pmmn,59,3536.898,3297.584,-,-,-,-,-,-,-,-,-,high,54.306,14.850,-0.000,15.925,47.206,-0.000,0.000,0.000,46.821,AB5,1458.448,6w,8,Zr2Te10-3f609a2e7630,cmr,-0.0,1964.877
Al2MgSe4,1.064,-,-,-,1.984,0.172,0.172,-0.789,-,-0.456,1.064,-,1.984,1.203,-,1.203,high,3,-29.756,2.983,-0.476,-0.476,-1.853,-,-2.440,4.304,True,gpaw,-,13.304,-,AB2C4-164-bcd,0.0,0.0,0.0,-1.321,-0.962,0.0,0.0,z,0.000,NM,-,True,False,6abc5afac0047a4ce2f1afe704947443,0.009,0.000,-,-0.000,-,-,0.0,7,-,1,0.0,ICSD-COD/3el/Al6Mg3Se12,TTF,-3m,ff0d878ada0a1d346b0c016298dc70c1,-,83363,-,0.0,0.0,0.0,P-3m1,164,4708.620,4707.057,4.700,4.700,0.822,3.982,3.980,0.068,8.682,8.681,0.890,high,109.071,38.575,0.049,38.493,108.998,0.049,-0.000,-0.000,73.081,AB2C4,394.152,6w,9,MgAl2Se4-6abc5afac004,cmr,0.0,524.61
