Formula              ✕	Heat of formation              ✕	Band gap              ✕	Work function (avg. if finite dipole)              ✕	Cond. band minimum              ✕	Fermi level              ✕	Monolayer reported DOI              ✕	Related COD id              ✕	Related ICSD id              ✕	Val. band maximum              ✕	Unique ID              ✕
Ca4As4	-0.743	0.998	2.781	-1.024	-1.523	-	-	22388	-2.022	9c8195c5d3d9574071ab0a4e9bee18bf
In2Se2	-0.5	1.63	4.59	-2.271	-3.086	-	1540841	-	-3.901	3310c144fbd885512e402ae4bfa0f167
Sc4S6	-1.691	1.515	4.567	-2.166	-2.924	-	-	650834	-3.681	4c34c883c58df565a4462db01f23e0ae
Zr3B2H2S2	-0.636	0.0	2.709	-	2.265	-	-	-	-	9fdc5929a57de6242d5d98df65edb58d
Zr2Te10	-0.514	0.191	4.489	-2.292	-2.387	-	-	653212	-2.483	ea81af3673bb0fbfae897eb07d52a25e
Al2MgSe4	-0.962	1.064	4.304	-0.789	-1.321	-	-	83363	-1.853	ff0d878ada0a1d346b0c016298dc70c1
Ca2Mn2Si2	-0.231	0.0	2.858	-	-0.666	-	1539705	-	-	7056c9df17f92d80242d1d1ea7fc308f
Cr2Br2O2	-1.438	0.501	5.181	-2.647	-2.897	-	1534386	-	-3.147	be766c1579aa7ef746cea3565209d534
Hf2Ge2Te8	-0.464	0.565	4.243	-1.658	-1.94	-	2218123	-	-2.223	6e42a376b593c041e23a6e4654830e13
Ti3C2H2O2	-1.295	0.0	1.986	-	2.615	10.1126/science.1241488	-	-	-	d5176a7f348c834c6393568d3178d513
In4I4Te4	-0.451	1.732	5.048	-2.420	-3.286	-	1525202	-	-4.152	d0ddf75738f0af22a287bbe4342eaaa1
Li2Cl2O4	-0.765	3.347	3.632	-0.966	-2.64	-	2014617	-	-4.313	bdbb91b74852bf96d50ce2efef8bd4c8
Na2H2O2	-1.365	2.802	2.742	-0.738	-2.139	-	2310820	-	-3.540	f3bea84c8a9c02ad42f40f11094c6c80
Nb2Br4Se4	-0.804	1.096	4.692	-2.259	-2.807	-	4031460	-	-3.355	a463e0ac089504bafcbf164156e01a6b
Nb3Cl7Te	-1.269	0.772	4.937	-2.670	-3.056	-	-	79213	-3.442	3fcd14e922acc0b4add41e63ddddc1c6
Ni2Ta4S10	-0.967	0.0	5.417	-	-3.299	-	-	61147	-	8206acfa12e00a214a7f443407104656
Pd2O6Se2	-0.646	1.12	4.831	-2.762	-3.322	-	4333283	-	-3.882	ac9eccef38e50bbfc3885ea553178b88
Pt4Tl2Te6	-0.423	0.663	4.069	-1.781	-2.112	-	-	78787	-2.443	98cb0d179387a5aaffcf6e3a76c7572b
Sc4I4O4	-2.597	1.792	4.69	-1.088	-1.984	-	-	419335	-2.880	5578fcf25c3b627b16fbf01935a39e89
Ta3I7Te	-0.465	0.643	4.45	-2.000	-2.321	-	-	82792	-2.643	642b88ff1e8544a284cad3fd5a97668e
W2O12Sb4	-1.722	1.745	6.088	-2.355	-3.227	-	-	75595	-4.100	f3af02ae18d9598c1782bff00e2d17a0
Zr2Cl2N2	-1.885	1.923	5.771	-1.689	-2.651	-	1521250	-	-3.612	89b9ddac32779526cc0a7350b2afbe95
In2Se2	-0.534	1.321	5.234	-0.617	-1.278	-	-	-	-1.939	595e8cdc6120bcb9ab1d335a1acde4e3
Cu4Cl4H4O4	-0.712	0.403	6.52	-4.624	-4.825	-	9014716	-	-5.027	c1b8c203bdb69eb8a920984309d23e71
HfNa2H6O6	-1.683	4.113	3.44	-0.597	-2.653	-	1522053	-	-4.710	9ee86957087e80854be885f48704bc20
Li6H2O8Te2	-1.682	4.037	3.249	-0.112	-2.13	-	1517993	-	-4.148	30a7fe1fc2231be8fc424e7f8210ac84
Na2PtH6O6	-1.142	2.835	3.192	-0.891	-2.308	-	-	251042	-3.726	c96833c89dbc14257fd8e27d091f4201
Sn2F2O6P2	-2.106	3.985	4.807	-1.163	-3.156	-	2106656	-	-5.148	3f0effc4dc2db1f7a4d4fb47cbc323eb
Mn3C2F2	-0.755	0.0	6.244	-	-0.387	-	-	-	-	7f8ca727f01dab15b17a6a2562b2b4ba
Hf4C3H2O2	-1.263	0.0	2.341	-	3.878	-	-	-	-	6c0a659f12f5ac212e395fc96a80ddc8
Nb3C2	-0.033	0.0	4.408	-	1.981	-	-	-	-	b56980b1dced63a53dbcb4affa1a7257
Ti3N2	-0.985	0.0	4.598	-	1.186	-	-	-	-	6fc3bba88c8f14a08c4212284290eb16
Ti4C3F2	-1.635	0.0	4.573	-	2.062	-	-	-	-	fe9a9c58c5b96d896f1fbb826aad6653
Mn4N3O2	-0.632	0.0	6.603	-	0.829	-	-	-	-	849c2be3b71258e3d721c11972628f2d
Sc4C3	-0.322	0.0	3.035	-	1.517	-	-	-	-	112caf5763c9a024f775fdc667fc66a4
V4N3	-0.593	0.0	4.768	-	2.255	-	-	-	-	60ee2da842aa17302d0af0105c13b225
Al2Se2	-0.717	1.997	4.827	-0.008	-1.007	-	-	-	-2.006	3b6dd62660caef9bb51a50c67ad0762b
Sc2Br2	-1.171	0.0	4.154	-	0.46	-	-	-	-	4aa82e62854bf65326544e9c2905756d
Rb2Cl2	-1.823	4.651	3.765	-0.328	-2.654	-	-	-	-4.979	db78a41d8f3da912e5b773a1dc01b451
F2Ge2	-1.467	0.118	7.127	-4.410	-4.469	-	-	-	-4.528	3528602f6d7373de70e2ed981e020971
Os2F2	-0.94	0.0	8.358	-	-1.463	-	-	-	-	d1e48c12cae91b5ec3c6c4415f6e4e2c
F2Si2	-1.767	0.666	6.179	-3.182	-3.515	-	-	-	-3.848	841444ad7399875c54dce3b902c0f01a
Zr2F2	-2.31	0.0	4.682	-	0.349	-	-	-	-	493fdf4020bdeee7b28cede0abc7489c
Fe2Te2	-0.063	0.0	4.18	-	0.109	-	-	44753	-	6baa90cd5deca15ae1fe6c84a33cc4ca
Ga2Te2	-0.372	1.297	4.52	-0.102	-0.75	10.1088/2053-1583/2/3/035010	-	43328	-1.399	4b122ce63e3dd4a5629432e487801d9c
GeTe	-0.006	1.474	4.217	-0.853	-1.589	-	-	-	-2.326	d5ae402d8eb81599eabaa929faa53eb9
I2Sb2	-0.122	0.586	4.468	-1.092	-1.385	-	-	-	-1.678	72b0170e32ad1afbb4db0fdc29dc21f9
Nb2Te2	-0.16	0.0	4.135	-	0.184	-	-	-	-	43a390710f2d6df0b23001212a7a551c
Ni2Se2	-0.198	0.0	4.521	-	-1.548	-	-	162903	-	3255c035f141edff59abe202bde988c2
Pd2S2	-0.092	0.0	5.244	-	-1.611	-	-	-	-	10ab086ecc8f179056841d1ac862e348
Ru2Se2	-0.227	0.0	4.291	-	-0.836	-	-	-	-	491aefeb2396354147f504fcfc07ff7a
